Country or Area,Year,Area,Sex,City,City type,Record Type,Reliability,Source Year,Value,Value Footnotes
United States of America,2016,Total,Both Sexes,Pueblo (CO),City proper,Estimate - de jure,"Final figure, complete",2017,110291,"1,2"
United States of America,2016,Total,Both Sexes,Raleigh (NC),City proper,Estimate - de jure,"Final figure, complete",2017,458880,"1,2"
United States of America,2016,Total,Both Sexes,Rancho Cucamonga (CA),City proper,Estimate - de jure,"Final figure, complete",2017,176534,"1,2"
United States of America,2016,Total,Both Sexes,Reno (NV),City proper,Estimate - de jure,"Final figure, complete",2017,245255,"1,2"
United States of America,2016,Total,Both Sexes,Renton (WA),City proper,Estimate - de jure,"Final figure, complete",2017,100953,"1,2"
United States of America,2016,Total,Both Sexes,Rialto (CA),City proper,Estimate - de jure,"Final figure, complete",2017,103314,"1,2"
United States of America,2016,Total,Both Sexes,Richardson (TX),City proper,Estimate - de jure,"Final figure, complete",2017,113347,"1,2"
United States of America,2016,Total,Both Sexes,Richmond (CA),City proper,Estimate - de jure,"Final figure, complete",2017,109813,"1,2"
United States of America,2016,Total,Both Sexes,Richmond (VA),City proper,Estimate - de jure,"Final figure, complete",2017,223170,"1,2"
United States of America,2016,Total,Both Sexes,Riverside (CA),City proper,Estimate - de jure,"Final figure, complete",2017,324722,"1,2"
United States of America,2016,Total,Both Sexes,Rochester (MN),City proper,Estimate - de jure,"Final figure, complete",2017,114011,"1,2"
United States of America,2016,Total,Both Sexes,Rochester (NY),City proper,Estimate - de jure,"Final figure, complete",2017,208880,"1,2"
United States of America,2016,Total,Both Sexes,Rockford (IL),City proper,Estimate - de jure,"Final figure, complete",2017,147651,"1,2"
United States of America,2016,Total,Both Sexes,Roseville (CA),City proper,Estimate - de jure,"Final figure, complete",2017,132671,"1,2"
United States of America,2016,Total,Both Sexes,Round Rock (TX),City proper,Estimate - de jure,"Final figure, complete",2017,120892,"1,2"
United States of America,2016,Total,Both Sexes,Sacramento (CA),City proper,Estimate - de jure,"Final figure, complete",2017,495234,"1,2"
United States of America,2016,Total,Both Sexes,Salem (OR),City proper,Estimate - de jure,"Final figure, complete",2017,167419,"1,2"
United States of America,2016,Total,Both Sexes,Salinas (CA),City proper,Estimate - de jure,"Final figure, complete",2017,157218,"1,2"
United States of America,2016,Total,Both Sexes,Salt Lake City (UT),City proper,Estimate - de jure,"Final figure, complete",2017,193744,"1,2"
United States of America,2016,Total,Both Sexes,San Angelo (TX),City proper,Estimate - de jure,"Final figure, complete",2017,100702,"1,2"
United States of America,2016,Total,Both Sexes,San Antonio (TX),City proper,Estimate - de jure,"Final figure, complete",2017,1492510,"1,2"
United States of America,2016,Total,Both Sexes,San Bernardino (CA),City proper,Estimate - de jure,"Final figure, complete",2017,216239,"1,2"
United States of America,2016,Total,Both Sexes,San Buenaventura (CA),City proper,Estimate - de jure,"Final figure, complete",2017,109592,"1,2"
United States of America,2016,Total,Both Sexes,San Diego (CA),City proper,Estimate - de jure,"Final figure, complete",2017,1406630,"1,2"
United States of America,2016,Total,Both Sexes,San Francisco (CA),City proper,Estimate - de jure,"Final figure, complete",2017,870887,"1,2"
United States of America,2016,Total,Both Sexes,San Jose (CA),City proper,Estimate - de jure,"Final figure, complete",2017,1025350,"1,2"
United States of America,2016,Total,Both Sexes,San Mateo (CA),City proper,Estimate - de jure,"Final figure, complete",2017,103959,"1,2"
United States of America,2016,Total,Both Sexes,Sandy Springs (GA),City proper,Estimate - de jure,"Final figure, complete",2017,105703,"1,2"
United States of America,2016,Total,Both Sexes,Santa Ana (CA),City proper,Estimate - de jure,"Final figure, complete",2017,334217,"1,2"
United States of America,2016,Total,Both Sexes,Santa Clara (CA),City proper,Estimate - de jure,"Final figure, complete",2017,125948,"1,2"
United States of America,2016,Total,Both Sexes,Santa Clarita (CA),City proper,Estimate - de jure,"Final figure, complete",2017,181972,"1,2"
United States of America,2016,Total,Both Sexes,Santa Maria (CA),City proper,Estimate - de jure,"Final figure, complete",2017,106290,"1,2"
United States of America,2016,Total,Both Sexes,Santa Rosa (CA),City proper,Estimate - de jure,"Final figure, complete",2017,175155,"1,2"
United States of America,2016,Total,Both Sexes,Savannah (GA),City proper,Estimate - de jure,"Final figure, complete",2017,146763,"1,2"
United States of America,2016,Total,Both Sexes,Scottsdale (AZ),City proper,Estimate - de jure,"Final figure, complete",2017,246645,"1,2"
United States of America,2016,Total,Both Sexes,Seattle (WA),City proper,Estimate - de jure,"Final figure, complete",2017,704352,"1,2"
United States of America,2016,Total,Both Sexes,Shreveport (LA),City proper,Estimate - de jure,"Final figure, complete",2017,194920,"1,2"
United States of America,2016,Total,Both Sexes,Simi Valley (CA),City proper,Estimate - de jure,"Final figure, complete",2017,126327,"1,2"
United States of America,2016,Total,Both Sexes,Sioux Falls (SD),City proper,Estimate - de jure,"Final figure, complete",2017,174360,"1,2"
United States of America,2016,Total,Both Sexes,South Bend (IN),City proper,Estimate - de jure,"Final figure, complete",2017,101735,"1,2"
United States of America,2016,Total,Both Sexes,Spokane (WA),City proper,Estimate - de jure,"Final figure, complete",2017,215973,"1,2"
United States of America,2016,Total,Both Sexes,Springfield (IL),City proper,Estimate - de jure,"Final figure, complete",2017,115715,"1,2"
United States of America,2016,Total,Both Sexes,Springfield (MA),City proper,Estimate - de jure,"Final figure, complete",2017,154074,"1,2"
United States of America,2016,Total,Both Sexes,Springfield (MO),City proper,Estimate - de jure,"Final figure, complete",2017,167319,"1,2"
United States of America,2016,Total,Both Sexes,St. Louis (MO),City proper,Estimate - de jure,"Final figure, complete",2017,311404,"1,2"
United States of America,2016,Total,Both Sexes,St. Paul (MN),City proper,Estimate - de jure,"Final figure, complete",2017,302398,"1,2"
United States of America,2016,Total,Both Sexes,St. Petersburg (FL),City proper,Estimate - de jure,"Final figure, complete",2017,260999,"1,2"
United States of America,2016,Total,Both Sexes,Stamford (CT),City proper,Estimate - de jure,"Final figure, complete",2017,129113,"1,2"
United States of America,2016,Total,Both Sexes,Sterling Heights (MI),City proper,Estimate - de jure,"Final figure, complete",2017,132427,"1,2"
United States of America,2016,Total,Both Sexes,Stockton (CA),City proper,Estimate - de jure,"Final figure, complete",2017,307072,"1,2"
United States of America,2016,Total,Both Sexes,Sunnyvale (CA),City proper,Estimate - de jure,"Final figure, complete",2017,152771,"1,2"
United States of America,2016,Total,Both Sexes,Surprise (AZ),City proper,Estimate - de jure,"Final figure, complete",2017,132677,"1,2"
United States of America,2016,Total,Both Sexes,Syracuse (NY),City proper,Estimate - de jure,"Final figure, complete",2017,143378,"1,2"
United States of America,2016,Total,Both Sexes,Tacoma (WA),City proper,Estimate - de jure,"Final figure, complete",2017,211277,"1,2"
United States of America,2016,Total,Both Sexes,Tallahassee (FL),City proper,Estimate - de jure,"Final figure, complete",2017,190894,"1,2"
United States of America,2016,Total,Both Sexes,Tampa (FL),City proper,Estimate - de jure,"Final figure, complete",2017,377165,"1,2"
United States of America,2016,Total,Both Sexes,Temecula (CA),City proper,Estimate - de jure,"Final figure, complete",2017,113054,"1,2"
United States of America,2016,Total,Both Sexes,Tempe (AZ),City proper,Estimate - de jure,"Final figure, complete",2017,182498,"1,2"
United States of America,2016,Total,Both Sexes,Thornton (CO),City proper,Estimate - de jure,"Final figure, complete",2017,136703,"1,2"
United States of America,2016,Total,Both Sexes,Thousand Oaks (CA),City proper,Estimate - de jure,"Final figure, complete",2017,128888,"1,2"
United States of America,2016,Total,Both Sexes,Toledo (OH),City proper,Estimate - de jure,"Final figure, complete",2017,278508,"1,2"
United States of America,2016,Total,Both Sexes,Topeka (KS),City proper,Estimate - de jure,"Final figure, complete",2017,126808,"1,2"
United States of America,2016,Total,Both Sexes,Torrance (CA),City proper,Estimate - de jure,"Final figure, complete",2017,147195,"1,2"
United States of America,2016,Total,Both Sexes,Tucson (AZ),City proper,Estimate - de jure,"Final figure, complete",2017,530706,"1,2"
United States of America,2016,Total,Both Sexes,Tulsa (OK),City proper,Estimate - de jure,"Final figure, complete",2017,403090,"1,2"
United States of America,2016,Total,Both Sexes,Tyler (TX),City proper,Estimate - de jure,"Final figure, complete",2017,104798,"1,2"
United States of America,2016,Total,Both Sexes,Vallejo (CA),City proper,Estimate - de jure,"Final figure, complete",2017,121299,"1,2"
United States of America,2016,Total,Both Sexes,Vancouver (WA),City proper,Estimate - de jure,"Final figure, complete",2017,174826,"1,2"
United States of America,2016,Total,Both Sexes,Victorville City (CA),City proper,Estimate - de jure,"Final figure, complete",2017,122265,"1,2"
United States of America,2016,Total,Both Sexes,Virginia Beach (VA),City proper,Estimate - de jure,"Final figure, complete",2017,452602,"1,2"
United States of America,2016,Total,Both Sexes,Visalia (CA),City proper,Estimate - de jure,"Final figure, complete",2017,131074,"1,2"
United States of America,2016,Total,Both Sexes,Vista (CA),City proper,Estimate - de jure,"Final figure, complete",2017,101659,"1,2"
United States of America,2016,Total,Both Sexes,Waco (TX),City proper,Estimate - de jure,"Final figure, complete",2017,134432,"1,2"
United States of America,2016,Total,Both Sexes,Warren (MI),City proper,Estimate - de jure,"Final figure, complete",2017,135125,"1,2"
United States of America,2016,Total,Both Sexes,WASHINGTON (DC),City proper,Estimate - de jure,"Final figure, complete",2017,681170,"1,2"
United States of America,2016,Total,Both Sexes,Waterbury (CT),City proper,Estimate - de jure,"Final figure, complete",2017,108272,"1,2"
United States of America,2016,Total,Both Sexes,West Covina (CA),City proper,Estimate - de jure,"Final figure, complete",2017,107847,"1,2"
United States of America,2016,Total,Both Sexes,West Jordan (UT),City proper,Estimate - de jure,"Final figure, complete",2017,113699,"1,2"
United States of America,2016,Total,Both Sexes,West Palm Beach (FL),City proper,Estimate - de jure,"Final figure, complete",2017,108161,"1,2"
United States of America,2016,Total,Both Sexes,West Valley City (UT),City proper,Estimate - de jure,"Final figure, complete",2017,136574,"1,2"
United States of America,2016,Total,Both Sexes,Westminster (CO),City proper,Estimate - de jure,"Final figure, complete",2017,113875,"1,2"
United States of America,2016,Total,Both Sexes,Wichita (KS),City proper,Estimate - de jure,"Final figure, complete",2017,389902,"1,2"
United States of America,2016,Total,Both Sexes,Wichita Falls (TX),City proper,Estimate - de jure,"Final figure, complete",2017,104724,"1,2"
United States of America,2016,Total,Both Sexes,Wilmington (NC),City proper,Estimate - de jure,"Final figure, complete",2017,117525,"1,2"
United States of America,2016,Total,Both Sexes,Winston-Salem (NC),City proper,Estimate - de jure,"Final figure, complete",2017,242203,"1,2"
United States of America,2016,Total,Both Sexes,Worcester (MA),City proper,Estimate - de jure,"Final figure, complete",2017,184508,"1,2"
United States of America,2016,Total,Both Sexes,Yonkers (NY),City proper,Estimate - de jure,"Final figure, complete",2017,200807,"1,2"
,,,,,,,,,,
footnoteSeqID,Footnote,,,,,,,,,
1,Excluding U.S. Armed Forces overseas and civilian U.S. citizens whose usual place of residence is outside the United States.,,,,,,,,,
2,"City refers to a type of incorporated place in 49 states and the District of Columbia, that has an elected government and provides a range of government functions and services. Also included among the cities on this list is Urban Honolulu, Hawaii Census Designated Place (CDP), for which the Census Bureau reports data under agreement with the State of Hawaii (instead of the combined city and county of Honolulu).",,,,,,,,,
