Country or Area,Year,Area,Sex,City,City type,Record Type,Reliability,Source Year,Value,Value Footnotes
United States of America,2016,Total,Both Sexes,Cleveland (OH),City proper,Estimate - de jure,"Final figure, complete",2017,385809,"1,2"
United States of America,2016,Total,Both Sexes,Clovis (CA),City proper,Estimate - de jure,"Final figure, complete",2017,106583,"1,2"
United States of America,2016,Total,Both Sexes,College Station (TX),City proper,Estimate - de jure,"Final figure, complete",2017,112141,"1,2"
United States of America,2016,Total,Both Sexes,Colorado Springs (CO),City proper,Estimate - de jure,"Final figure, complete",2017,465101,"1,2"
United States of America,2016,Total,Both Sexes,Columbia (MO),City proper,Estimate - de jure,"Final figure, complete",2017,120612,"1,2"
United States of America,2016,Total,Both Sexes,Columbia (SC),City proper,Estimate - de jure,"Final figure, complete",2017,134309,"1,2"
United States of America,2016,Total,Both Sexes,Columbus (GA),City proper,Estimate - de jure,"Final figure, complete",2017,197485,"1,2"
United States of America,2016,Total,Both Sexes,Columbus (OH),City proper,Estimate - de jure,"Final figure, complete",2017,860090,"1,2"
United States of America,2016,Total,Both Sexes,Concord (CA),City proper,Estimate - de jure,"Final figure, complete",2017,128726,"1,2"
United States of America,2016,Total,Both Sexes,Coral Springs (FL),City proper,Estimate - de jure,"Final figure, complete",2017,130059,"1,2"
United States of America,2016,Total,Both Sexes,Corona (CA),City proper,Estimate - de jure,"Final figure, complete",2017,166785,"1,2"
United States of America,2016,Total,Both Sexes,Corpus Christi (TX),City proper,Estimate - de jure,"Final figure, complete",2017,325733,"1,2"
United States of America,2016,Total,Both Sexes,Costa Mesa (CA),City proper,Estimate - de jure,"Final figure, complete",2017,112822,"1,2"
United States of America,2016,Total,Both Sexes,Dallas (TX),City proper,Estimate - de jure,"Final figure, complete",2017,1317929,"1,2"
United States of America,2016,Total,Both Sexes,Daly City (CA),City proper,Estimate - de jure,"Final figure, complete",2017,106472,"1,2"
United States of America,2016,Total,Both Sexes,Davenport (IA),City proper,Estimate - de jure,"Final figure, complete",2017,102612,"1,2"
United States of America,2016,Total,Both Sexes,Davie (FL),City proper,Estimate - de jure,"Final figure, complete",2017,101871,"1,2"
United States of America,2016,Total,Both Sexes,Dayton (OH),City proper,Estimate - de jure,"Final figure, complete",2017,140489,"1,2"
United States of America,2016,Total,Both Sexes,Denton (TX),City proper,Estimate - de jure,"Final figure, complete",2017,133808,"1,2"
United States of America,2016,Total,Both Sexes,Denver (CO),City proper,Estimate - de jure,"Final figure, complete",2017,693060,"1,2"
United States of America,2016,Total,Both Sexes,Des Moines (IA),City proper,Estimate - de jure,"Final figure, complete",2017,215472,"1,2"
United States of America,2016,Total,Both Sexes,Detroit (MI),City proper,Estimate - de jure,"Final figure, complete",2017,672795,"1,2"
United States of America,2016,Total,Both Sexes,Downey (CA),City proper,Estimate - de jure,"Final figure, complete",2017,113267,"1,2"
United States of America,2016,Total,Both Sexes,Durham (NC),City proper,Estimate - de jure,"Final figure, complete",2017,263016,"1,2"
United States of America,2016,Total,Both Sexes,El Cajon (CA),City proper,Estimate - de jure,"Final figure, complete",2017,103768,"1,2"
United States of America,2016,Total,Both Sexes,El Monte (CA),City proper,Estimate - de jure,"Final figure, complete",2017,115807,"1,2"
United States of America,2016,Total,Both Sexes,El Paso (TX),City proper,Estimate - de jure,"Final figure, complete",2017,683080,"1,2"
United States of America,2016,Total,Both Sexes,Elgin (IL),City proper,Estimate - de jure,"Final figure, complete",2017,112123,"1,2"
United States of America,2016,Total,Both Sexes,Elizabeth (NJ),City proper,Estimate - de jure,"Final figure, complete",2017,128640,"1,2"
United States of America,2016,Total,Both Sexes,Elk Grove (CA),City proper,Estimate - de jure,"Final figure, complete",2017,169743,"1,2"
United States of America,2016,Total,Both Sexes,Escondido (CA),City proper,Estimate - de jure,"Final figure, complete",2017,151613,"1,2"
United States of America,2016,Total,Both Sexes,Eugene (OR),City proper,Estimate - de jure,"Final figure, complete",2017,166575,"1,2"
United States of America,2016,Total,Both Sexes,Evansville (IN),City proper,Estimate - de jure,"Final figure, complete",2017,119477,"1,2"
United States of America,2016,Total,Both Sexes,Everett (WA),City proper,Estimate - de jure,"Final figure, complete",2017,109043,"1,2"
United States of America,2016,Total,Both Sexes,Fairfield (CA),City proper,Estimate - de jure,"Final figure, complete",2017,114756,"1,2"
United States of America,2016,Total,Both Sexes,Fargo (ND),City proper,Estimate - de jure,"Final figure, complete",2017,120762,"1,2"
United States of America,2016,Total,Both Sexes,Fayetteville (NC),City proper,Estimate - de jure,"Final figure, complete",2017,204759,"1,2"
United States of America,2016,Total,Both Sexes,Fontana (CA),City proper,Estimate - de jure,"Final figure, complete",2017,209665,"1,2"
United States of America,2016,Total,Both Sexes,Fort Collins (CO),City proper,Estimate - de jure,"Final figure, complete",2017,164207,"1,2"
United States of America,2016,Total,Both Sexes,Fort Lauderdale (FL),City proper,Estimate - de jure,"Final figure, complete",2017,178752,"1,2"
United States of America,2016,Total,Both Sexes,Fort Wayne (IN),City proper,Estimate - de jure,"Final figure, complete",2017,264488,"1,2"
United States of America,2016,Total,Both Sexes,Fort Worth (TX),City proper,Estimate - de jure,"Final figure, complete",2017,854113,"1,2"
United States of America,2016,Total,Both Sexes,Fremont (CA),City proper,Estimate - de jure,"Final figure, complete",2017,233136,"1,2"
United States of America,2016,Total,Both Sexes,Fresno (CA),City proper,Estimate - de jure,"Final figure, complete",2017,522053,"1,2"
United States of America,2016,Total,Both Sexes,Frisco (TX),City proper,Estimate - de jure,"Final figure, complete",2017,163656,"1,2"
United States of America,2016,Total,Both Sexes,Fullerton (CA),City proper,Estimate - de jure,"Final figure, complete",2017,140721,"1,2"
United States of America,2016,Total,Both Sexes,Gainesville (FL),City proper,Estimate - de jure,"Final figure, complete",2017,131591,"1,2"
United States of America,2016,Total,Both Sexes,Garden Grove (CA),City proper,Estimate - de jure,"Final figure, complete",2017,174858,"1,2"
